,year,parish,count,property_type_category,cp
478316,2015,Ericeira,15,Apartment,2655-504
478756,2015,Ericeira,2,Guesthouse,2655-504
479196,2015,Ericeira,1,Hotel/Hostel,2655-504
479636,2015,Ericeira,17,House,2655-504
480076,2016,Ericeira,27,Apartment,2655-504
480516,2016,Ericeira,3,Hotel/Hostel,2655-504
480956,2016,Ericeira,16,House,2655-504
481396,2017,Ericeira,48,Apartment,2655-504
481836,2017,Ericeira,1,Guesthouse,2655-504
482276,2017,Ericeira,5,Hotel/Hostel,2655-504
482716,2017,Ericeira,21,House,2655-504
483156,2018,Ericeira,46,Apartment,2655-504
483596,2018,Ericeira,1,Guesthouse,2655-504
484036,2018,Ericeira,25,House,2655-504
484476,2019,Ericeira,15,Apartment,2655-504
484916,2019,Ericeira,6,House,2655-504
485356,2005,Ribeira de Ilhas,2,Hotel/Hostel,2640-51
485357,2007,Mata Pequena,1,House,2640-366
485358,2010,Almoçageme,1,Guesthouse,2705-335
485457,2014,Almoçageme,1,Apartment,2705-335
485556,2016,Almoçageme,2,House,2705-335
485655,2017,Almoçageme,1,Hotel/Hostel,2705-335
485754,2017,Almoçageme,8,House,2705-335
485853,2018,Almoçageme,1,Apartment,2705-335
485952,2018,Almoçageme,4,House,2705-335
486051,2019,Almoçageme,2,House,2705-335
486150,2010,Cascais,1,Apartment,2750-298
486813,2010,Cascais,1,Hotel/Hostel,2750-298
487476,2014,Cascais,6,Apartment,2750-298
488139,2014,Cascais,2,Hotel/Hostel,2750-298
488802,2014,Cascais,1,House,2750-298
489465,2015,Cascais,36,Apartment,2750-298
490128,2015,Cascais,6,House,2750-298
490791,2016,Cascais,39,Apartment,2750-298
491454,2016,Cascais,2,House,2750-298
492117,2017,Cascais,69,Apartment,2750-298
492780,2017,Cascais,1,Hotel/Hostel,2750-298
493443,2017,Cascais,8,House,2750-298
494106,2018,Cascais,81,Apartment,2750-298
494769,2018,Cascais,9,Hotel/Hostel,2750-298
495432,2018,Cascais,12,House,2750-298
496095,2019,Cascais,47,Apartment,2750-298
496758,2019,Cascais,3,Hotel/Hostel,2750-298
497421,2019,Cascais,5,House,2750-298
498084,2010,Colares,1,House,2705-347
498153,2015,Colares,1,House,2705-347
498222,2016,Colares,1,Hotel/Hostel,2705-347
498291,2016,Colares,3,House,2705-347
498360,2017,Colares,3,Apartment,2705-347
498429,2017,Colares,1,House,2705-347
498498,2018,Colares,1,Guesthouse,2705-347
498567,2018,Colares,2,House,2705-347
498636,2019,Colares,2,House,2705-347
498705,2010,Galamares,1,House,2710-227
498768,2015,Galamares,1,Apartment,2710-227
498831,2015,Galamares,1,House,2710-227
498894,2016,Galamares,1,House,2710-227
498957,2017,Galamares,2,House,2710-227
499020,2018,Galamares,3,House,2710-227
499083,2010,Gouveia,1,House,5350-262
499251,2014,Gouveia,2,House,5350-262
499419,2016,Gouveia,1,House,5350-262
499587,2018,Gouveia,1,House,5350-262
499755,2010,Malveira da Serra,1,Apartment,2755-148
499856,2015,Malveira da Serra,2,House,2755-148
499957,2018,Malveira da Serra,1,Apartment,2755-148
500058,2018,Malveira da Serra,5,House,2755-148
500159,2019,Malveira da Serra,1,House,2755-148
500260,2010,Praia da Areia Branca,1,House,2530-241
500313,2012,Praia da Areia Branca,1,Apartment,2530-241
500366,2012,Praia da Areia Branca,1,House,2530-241
500419,2013,Praia da Areia Branca,2,Hotel/Hostel,2530-241
500472,2014,Praia da Areia Branca,1,House,2530-241
500525,2015,Praia da Areia Branca,1,Apartment,2530-241
500578,2016,Praia da Areia Branca,3,Apartment,2530-241
500631,2017,Praia da Areia Branca,1,Apartment,2530-241
500684,2017,Praia da Areia Branca,1,House,2530-241
500737,2018,Praia da Areia Branca,6,Apartment,2530-241
500790,2018,Praia da Areia Branca,2,Hotel/Hostel,2530-241
500843,2018,Praia da Areia Branca,4,House,2530-241
500896,2019,Praia da Areia Branca,1,Apartment,2530-241
500949,2019,Praia da Areia Branca,1,House,2530-241
501002,2010,Praia das Maçãs,1,Apartment,2705-128
501097,2012,Praia das Maçãs,3,Apartment,2705-128
501192,2012,Praia das Maçãs,3,House,2705-128
501287,2014,Praia das Maçãs,1,House,2705-128
501382,2015,Praia das Maçãs,1,Apartment,2705-128
501477,2015,Praia das Maçãs,2,House,2705-128
501572,2016,Praia das Maçãs,1,Guesthouse,2705-128
501667,2016,Praia das Maçãs,1,House,2705-128
501762,2017,Praia das Maçãs,2,Apartment,2705-128
501857,2017,Praia das Maçãs,3,House,2705-128
501952,2018,Praia das Maçãs,4,Apartment,2705-128
502047,2018,Praia das Maçãs,1,House,2705-128
502142,2019,Praia das Maçãs,2,Apartment,2705-128
502237,2019,Praia das Maçãs,4,House,2705-128
502332,2010,Sintra,1,Guesthouse,4820-635
502813,2012,Sintra,1,House,4820-635
503294,2013,Sintra,1,Apartment,4820-635
503775,2014,Sintra,7,Apartment,4820-635
504256,2014,Sintra,1,Guesthouse,4820-635
504737,2014,Sintra,1,Hotel/Hostel,4820-635
505218,2014,Sintra,1,House,4820-635
505699,2015,Sintra,9,Apartment,4820-635
506180,2015,Sintra,1,Hotel/Hostel,4820-635
506661,2015,Sintra,3,House,4820-635
507142,2016,Sintra,6,Apartment,4820-635
507623,2016,Sintra,4,Guesthouse,4820-635
508104,2016,Sintra,4,Hotel/Hostel,4820-635
508585,2016,Sintra,14,House,4820-635
509066,2017,Sintra,40,Apartment,4820-635
509547,2017,Sintra,5,Guesthouse,4820-635
510028,2017,Sintra,3,Hotel/Hostel,4820-635
510509,2017,Sintra,19,House,4820-635
510990,2018,Sintra,17,Apartment,4820-635
511471,2018,Sintra,2,Guesthouse,4820-635
511952,2018,Sintra,14,House,4820-635
512433,2019,Sintra,8,Apartment,4820-635
512914,2011,Montoito,2,House,7200-53
512916,2016,Montoito,1,House,7200-53
512918,2018,Montoito,1,House,7200-53
512920,2011,Penedo,1,Guesthouse,4550-876
513078,2014,Penedo,3,House,4550-876
513236,2016,Penedo,3,House,4550-876
513394,2017,Penedo,1,Guesthouse,4550-876
513552,2017,Penedo,3,House,4550-876
513710,2011,Terrugem,1,Guesthouse,2770-184
514005,2016,Terrugem,1,Apartment,2770-184
514300,2017,Terrugem,2,House,2770-184
514595,2018,Terrugem,2,House,2770-184
514890,2019,Terrugem,2,Apartment,2770-184
515185,2019,Terrugem,1,House,2770-184
515480,2012,Fontanelas,1,House,2705-629
515591,2017,Fontanelas,1,House,2705-629
515702,2018,Fontanelas,1,House,2705-629
515813,2019,Fontanelas,1,House,2705-629
515924,2012,Pinhal da Nazaré,1,House,2705-235
515955,2016,Pinhal da Nazaré,1,Apartment,2705-235
515986,2017,Pinhal da Nazaré,3,House,2705-235
516017,2018,Pinhal da Nazaré,1,Guesthouse,2705-235
516048,2018,Pinhal da Nazaré,4,House,2705-235
516079,2012,Ribamar,1,Apartment,2530-645
